68980,44406052,-1,0,-1,4,8,7,-5,0,0,0,-1,-10,0,116,1308,-2,0,49,308,-1,0,49,3,0,48,3,0,0,0,0,0,0,0,750,737,761,711,1060,1056,1136,1064,1,0,0,1,1,-2,8,5,-2,0,49,30.8,-1,0,0
68984,44407296,-1,0,-1,4,8,7,0,1,0,0,-1,-10,0,116,1308,-2,0,49,308,-1,0,49,14,-7,52,14,-7,0,0,0,0,0,0,740,726,773,721,1068,1045,1124,1064,1,0,0,1,1,3,9,5,-2,0,49,30.8,-1,0,0
68988,44408540,-1,1,-1,4,8,7,1,6,0,0,-1,-10,0,116,1308,-2,0,49,308,-1,-1,49,-20,5,47,-20,5,0,0,0,0,0,0,751,714,787,710,1068,1045,1124,1060,1,0,0,1,1,4,15,5,-2,0,49,30.8,-1,1,0
68992,44409783,0,0,-1,4,8,7,5,3,0,0,-1,-10,0,116,1308,-2,0,49,309,-2,0,49,-1,2,47,-1,2,0,0,0,0,0,0,734,711,791,728,1079,1053,1124,1049,1,0,0,1,1,9,11,5,-2,0,49,30.9,0,0,0
68996,44411034,0,1,0,4,8,7,1,3,0,0,-1,-10,0,116,1309,-2,0,49,309,-1,0,49,17,-9,52,17,-9,0,0,0,0,0,0,743,720,783,718,1068,1064,1128,1038,1,0,0,1,1,5,12,6,-2,0,49,30.9,-1,0,0
69000,44412271,-1,1,0,4,8,7,-2,4,0,0,-1,-10,0,117,1309,-2,0,49,309,-1,-1,49,-19,4,49,-19,4,0,0,0,0,0,0,753,723,781,709,1060,1060,1124,1064,1,0,0,1,1,1,13,6,-2,0,49,30.9,-1,1,0
69004,44413514,0,2,0,4,8,7,2,9,0,0,-1,-10,0,117,1309,-2,0,49,309,-2,-1,49,-5,5,44,-5,5,0,0,0,0,0,0,756,705,800,706,1075,1053,1119,1053,1,0,0,1,1,6,19,6,-2,0,49,30.9,0,1,0
69008,44414757,0,2,0,4,8,7,0,4,0,0,-1,-10,0,117,1309,-2,0,49,309,-1,-1,49,21,-12,52,21,-12,0,0,0,0,0,0,750,721,785,711,1071,1064,1128,1049,1,0,0,1,1,4,14,6,-2,0,49,30.9,-1,1,0
69012,44416002,0,2,0,4,8,7,2,4,0,0,-1,-10,0,117,1309,-2,0,49,309,-2,-1,49,-18,2,50,-18,2,0,0,0,0,0,0,745,713,794,716,1075,1053,1115,1049,1,0,0,1,1,6,14,6,-2,0,49,30.9,0,1,0
69016,44417252,-1,2,0,4,8,7,-1,3,0,0,-1,-10,0,117,1309,-2,0,49,309,-1,-1,49,-6,7,44,-6,7,0,0,0,0,0,0,751,724,784,710,1075,1045,1119,1053,1,0,0,1,1,2,13,6,-2,0,49,30.9,-1,1,0
69020,44418488,-1,2,0,4,8,7,-5,3,0,0,-1,-10,0,116,1309,-2,0,49,309,-1,-1,48,19,-12,51,19,-12,0,0,0,0,0,0,759,732,777,701,1075,1056,1111,1060,1,0,0,1,1,-2,13,6,-2,0,49,30.9,-1,1,1
69024,44419732,0,2,0,4,8,7,1,-3,0,0,-1,-10,0,116,1309,-2,0,49,309,-1,-1,48,-13,1,51,-13,1,0,0,0,0,0,0,735,733,778,725,1064,1056,1128,1064,1,0,0,1,1,5,7,6,-2,0,49,30.9,-1,1,1
69028,44420975,-1,2,1,4,8,7,-1,-4,0,0,-1,-10,0,116,1310,-2,0,49,310,-1,-1,48,-11,9,42,-11,9,0,0,0,0,0,0,738,740,773,723,1079,1045,1136,1064,1,0,0,1,1,2,6,7,-2,0,49,31,-1,1,1
69032,44422219,0,2,1,4,8,7,0,-1,0,0,-1,-10,0,116,1310,-2,0,49,311,-1,-1,48,22,-11,52,22,-11,0,0,0,0,0,0,740,734,783,722,1079,1049,1115,1056,1,0,0,1,1,4,9,7,-2,0,49,31.1,-1,1,1
69036,44423463,-2,2,1,4,8,7,-6,0,0,0,-1,-10,0,116,1310,-2,0,49,311,0,-1,49,-8,-2,52,-8,-2,0,0,0,0,0,0,759,748,770,706,1064,1038,1136,1053,1,0,0,1,1,-4,10,7,-2,0,49,31.1,-2,1,0
69040,44424707,-2,2,1,4,9,7,-11,-1,0,0,-1,-10,0,115,1311,-2,0,49,312,0,-1,48,-12,10,42,-12,10,0,0,0,0,0,0,770,760,760,697,1071,1060,1136,1053,1,0,0,1,1,-9,10,7,-2,0,49,31.2,-2,1,1
69044,44425951,-2,2,1,4,9,7,-4,1,0,0,-1,-10,0,115,1311,-2,0,49,312,0,-1,49,14,-8,50,14,-8,0,0,0,0,0,0,760,744,778,709,1064,1049,1128,1053,1,0,0,1,1,-2,12,7,-2,0,49,31.2,-2,1,0
69048,44427194,-2,1,0,4,9,7,-1,-4,0,0,-1,-10,0,115,1312,-2,0,49,313,0,0,48,-2,-5,54,-2,-5,0,0,0,0,0,0,743,749,774,729,1071,1064,1136,1045,1,0,0,1,1,1,6,6,-2,0,49,31.3,-2,0,1
69052,44428437,-1,1,0,4,9,7,3,-6,0,0,-1,-10,0,115,1312,-2,0,49,313,-1,0,48,-16,11,41,-16,11,0,0,0,0,0,0,732,747,778,741,1079,1064,1132,1060,1,0,0,1,1,6,4,6,-2,0,49,31.3,-1,0,1
69054,44429059,-1,0,0,4,9,7,2,-6,0,0,-1,-10,0,115,1312,-2,0,49,314,-1,0,48,-1,6,43,-1,6,0,0,0,0,0,0,733,749,777,742,1068,1049,1119,1049,1,0,0,1,1,5,3,6,-2,0,49,31.4,-1,0,1
69058,44430302,-2,0,0,4,9,7,0,-5,0,0,-1,-10,0,115,1313,-2,0,49,314,-1,0,48,15,-12,55,15,-12,0,0,0,0,0,0,739,753,775,737,1079,1053,1119,1060,1,0,0,1,1,2,4,6,-2,0,49,31.4,-1,0,1
69062,44431546,-1,0,0,4,9,7,6,-3,0,0,-1,-10,0,115,1313,-2,0,48,314,-1,0,48,-16,5,50,-16,5,0,0,0,0,0,0,733,736,793,746,1068,1053,1128,1060,1,0,0,1,1,9,6,6,-2,0,48,31.4,-1,0,0
